GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1500000US390490074243,390490074243,"Block Group 3, Census Tract 74.24, Franklin County, Ohio",604,152,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,15,24,0,11,196,125,19,28,44,51,66,59,60,41,166,95,38,39,0,11,0,11
1500000US390490074244,390490074244,"Block Group 4, Census Tract 74.24, Franklin County, Ohio",547,199,61,84,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,19,28,40,56,0,11,39,62,0,11,191,98,0,11,16,28,50,44,43,42,76,56,12,24,0,11,0,11
1500000US390490074245,390490074245,"Block Group 5, Census Tract 74.24, Franklin County, Ohio",412,130,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,15,24,0,11,0,11,0,11,19,30,84,70,0,11,26,42,23,28,30,34,183,106,32,38,0,11,0,11
1500000US390490074246,390490074246,"Block Group 6, Census Tract 74.24, Franklin County, Ohio",764,153,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,18,0,11,52,45,17,26,0,11,243,112,23,32,37,42,157,91,68,55,96,74,63,61,0,11,0,11
1500000US390490074251,390490074251,"Block Group 1, Census Tract 74.25, Franklin County, Ohio",591,101,16,24,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,7,12,9,14,0,11,0,11,0,11,151,73,14,17,60,33,111,78,59,44,131,63,33,21,0,11,0,11
1500000US390490074252,390490074252,"Block Group 2, Census Tract 74.25, Franklin County, Ohio",742,124,0,11,0,11,4,9,0,11,0,11,0,11,0,11,4,9,0,11,0,11,4,9,4,9,6,13,23,35,0,11,197,72,24,21,57,36,99,62,53,40,199,97,68,50,0,11,0,11
1500000US390490074253,390490074253,"Block Group 3, Census Tract 74.25, Franklin County, Ohio",568,88,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,30,19,203,77,18,20,50,41,105,54,60,35,76,38,18,21,0,11,8,13
1500000US390490074261,390490074261,"Block Group 1, Census Tract 74.26, Franklin County, Ohio",1435,160,0,11,0,11,0,11,0,11,0,11,0,11,0,11,14,24,0,11,1,7,3,8,8,13,17,28,9,14,12,18,339,103,55,54,93,47,222,95,74,42,460,109,102,45,13,18,13,18
1500000US390490074262,390490074262,"Block Group 2, Census Tract 74.26, Franklin County, Ohio",658,106,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,5,9,6,11,0,11,0,11,0,11,155,68,10,15,53,39,108,42,38,24,174,60,83,54,0,11,26,24
1500000US390490074271,390490074271,"Block Group 1, Census Tract 74.27, Franklin County, Ohio",1074,233,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,20,30,0,11,0,11,0,11,135,84,0,11,90,86,301,137,77,68,280,160,161,132,0,11,10,18
1500000US390490074272,390490074272,"Block Group 2, Census Tract 74.27, Franklin County, Ohio",1824,266,21,34,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,59,49,0,11,55,70,184,83,9,15,22,35,156,101,120,89,690,162,390,168,82,93,36,34
1500000US390490074273,390490074273,"Block Group 3, Census Tract 74.27, Franklin County, Ohio",1291,309,0,11,0,11,0,11,0,11,0,11,14,22,0,11,0,11,0,11,0,11,0,11,57,61,0,11,0,11,65,86,432,270,15,24,85,66,276,210,122,86,167,88,58,57,0,11,0,11
1500000US390490074921,390490074921,"Block Group 1, Census Tract 74.92, Franklin County, Ohio",1651,223,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,10,16,0,11,0,11,0,11,37,41,207,89,0,11,102,62,252,107,257,105,489,115,250,95,28,34,19,22
