No,State,StationID,Address,Latitude,Longitude,Total Annual Trips,Average Monthly Trips,EDHLTH_RAC_SCALED,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,EMP_WAC_SCALED,LEISER_RAC_SCALED,LEISER_WAC_SCALED,OTHER_RAC_SCALED,OTHER_WAC_SCALED,RETAIL_RAC_SCALED,RETAIL_WAC_SCALED
90,CO,112,28th & Mapleton,40.0262,-105.25856,4555,380,720.0658335,935.4453606,2872.20118,13971.9344,393.0053683,4366.178062,1489.52191,4183.765315,269.608069,4486.545664
91,CO,113,29th & Pearl,40.022889,-105.256461,3056,255,64.84513947,894.7762299,188.0404271,22542.23835,32.91842682,4223.440893,79.48856694,6364.175249,10.78829387,11059.84598
92,CO,114,30th & Diagonal Highway,40.03751,-105.25351,1061,88,1323.925752,1832.922447,5943.750055,6371.895569,890.5302643,745.5658584,3215.483559,3525.807558,513.8104799,267.5997067
93,CO,115,30th & Glenwood,40.033873,-105.253931,2252,188,2272.395018,1626.418975,10557.97366,5886.189025,1547.76406,1665.83563,5544.120291,1969.384641,1193.694294,624.5497798
94,CO,116,31st & Pearl,40.02308,-105.25175,2813,234,105.8729886,10014.99354,382.2050002,28065.64351,61.37309775,1809.710772,172.1757929,11707.12977,42.78312105,4533.809427
95,CO,117,35th & Colorado,40.007666,-105.247925,2457,205,797.8165694,49.4992049,3479.409075,680.8396353,688.7247933,18.58439639,1589.147152,612.756034,403.7205598,0
96,CO,118,38th & Arapahoe,40.015078,-105.246967,4128,344,258.7002493,4472.103972,1261.163716,19562.83855,183.24601,769.312721,700.6465086,13700.38462,118.5709476,621.0372418
97,CO,119,48th & Arapahoe,40.0149,-105.23558,3525,294,763.2402316,5839.335092,3253.661272,7942.339041,433.2953234,0,1829.341392,2089.340282,227.7843252,13.66366724
98,CO,120,6th & Canyon,40.01506,-105.28729,2109,176,1008.131207,583.3340995,4762.145006,14125.27288,1004.822826,4894.146735,2346.921053,7082.25398,402.2699191,1565.538064
99,CO,121,9th & Pearl,40.01688,-105.28396,2438,203,879.8080216,1556.724373,3540.675067,44334.4059,570.0572731,19242.15831,1824.588689,19834.42492,266.2210829,3701.098295
100,CO,122,Broadway & Alpine,40.02543,-105.28144,2684,224,1010.983612,12731.38951,4767.111538,20878.15812,972.3439992,2913.266769,2283.277145,3442.478292,500.5067819,1791.023549
101,CO,123,Broadway & Baseline,40.000046,-105.261682,2471,206,1466.995563,165.4368308,5577.978946,3156.113581,757.3816915,1434.619229,2808.50198,1203.115698,545.0997109,352.9418237
102,CO,124,Broadway & Euclid,40.00638,-105.2724,4110,343,861.8266073,306.2713755,3857.179636,2043.00583,771.3981596,1251.315648,1736.37612,398.5166418,487.5787494,86.90216482
103,CO,125,Broadway & Iris,40.037422,-105.28064,947,79,909.3402049,5846.566373,3496.30297,8506.760204,460.9855485,15.91616327,1837.512909,2630.19255,288.4643077,14.08511775
104,CO,126,Broadway & University,40.010598,-105.276635,2105,175,1311.215456,134.2559575,6025.467418,11287.5916,1323.038726,6087.169089,3035.056548,3038.748872,356.1566882,2027.417684
105,CO,127,Folsom & Colorado,40.008107,-105.263846,5187,432,1139.056043,674.8911287,4200.299161,2010.117158,639.9998368,928.4400879,2004.920831,283.7748416,416.3224502,123.0111003
106,CO,128,Folsom & Pearl,40.021441,-105.263643,3737,311,1239.666528,1943.638548,6913.130376,16598.23324,1392.740011,967.9820625,3491.800871,11604.58789,788.9229651,2082.024738
