GEO.id,GEO.id2,GEO.display-label,HD01_VD10,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,Alternate Commuters
Id,Id2,Geography,Estimate; Public transportation (excluding taxicab):,Estimate; Taxicab,Estimate; Motorcycle,Estimate; Bicycle,Estimate; Walked,AltComm
1500000US080130135071,80130135071,"Block Group 1, Census Tract 135.07, Boulder County, Colorado",18,0,10,7,7,42
1500000US080130135072,80130135072,"Block Group 2, Census Tract 135.07, Boulder County, Colorado",16,0,0,0,0,16
1500000US080130135081,80130135081,"Block Group 1, Census Tract 135.08, Boulder County, Colorado",24,0,0,0,68,92
1500000US080130135082,80130135082,"Block Group 2, Census Tract 135.08, Boulder County, Colorado",28,0,0,0,22,50
1500000US080130135083,80130135083,"Block Group 3, Census Tract 135.08, Boulder County, Colorado",29,0,0,0,0,29
1500000US080130136011,80130136011,"Block Group 1, Census Tract 136.01, Boulder County, Colorado",10,0,0,0,7,17
1500000US080130136012,80130136012,"Block Group 2, Census Tract 136.01, Boulder County, Colorado",47,0,0,4,41,92
1500000US080130136013,80130136013,"Block Group 3, Census Tract 136.01, Boulder County, Colorado",12,0,0,14,72,98
1500000US080130136021,80130136021,"Block Group 1, Census Tract 136.02, Boulder County, Colorado",5,0,0,0,0,5
1500000US080130136022,80130136022,"Block Group 2, Census Tract 136.02, Boulder County, Colorado",0,0,4,0,31,35
1500000US080130137011,80130137011,"Block Group 1, Census Tract 137.01, Boulder County, Colorado",129,0,0,47,72,248
1500000US080130137012,80130137012,"Block Group 2, Census Tract 137.01, Boulder County, Colorado",16,0,0,0,10,26
1500000US080130137013,80130137013,"Block Group 3, Census Tract 137.01, Boulder County, Colorado",0,0,0,0,0,0
1500000US080130137014,80130137014,"Block Group 4, Census Tract 137.01, Boulder County, Colorado",17,0,0,0,23,40
1500000US080130137021,80130137021,"Block Group 1, Census Tract 137.02, Boulder County, Colorado",15,0,0,0,0,15
1500000US080130137022,80130137022,"Block Group 2, Census Tract 137.02, Boulder County, Colorado",0,0,0,0,0,0
1500000US080130137023,80130137023,"Block Group 3, Census Tract 137.02, Boulder County, Colorado",41,0,0,0,25,66
1500000US080130137024,80130137024,"Block Group 4, Census Tract 137.02, Boulder County, Colorado",0,0,0,0,0,0
1500000US080130137025,80130137025,"Block Group 5, Census Tract 137.02, Boulder County, Colorado",39,0,0,23,19,81
1500000US080130137026,80130137026,"Block Group 6, Census Tract 137.02, Boulder County, Colorado",160,0,0,13,63,236
1500000US080130137027,80130137027,"Block Group 7, Census Tract 137.02, Boulder County, Colorado",30,0,0,0,14,44
