,GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC03_EST_VC01,HC04_EST_VC01
0,Id,Id2,Geography,Total; Estimate; Population 16 years and over,Employment/Population Ratio; Estimate; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over
150,1400000US08005006713,08005006713,"Census Tract 67.13, Arapahoe County, Colorado",1239,76.8,2.8
151,1400000US08005006808,08005006808,"Census Tract 68.08, Arapahoe County, Colorado",4301,65.4,2.8
152,1400000US08005006815,08005006815,"Census Tract 68.15, Arapahoe County, Colorado",3247,71.5,4.5
153,1400000US08005006854,08005006854,"Census Tract 68.54, Arapahoe County, Colorado",2223,61.2,7.7
154,1400000US08005006855,08005006855,"Census Tract 68.55, Arapahoe County, Colorado",4179,73.6,1.3
155,1400000US08005006856,08005006856,"Census Tract 68.56, Arapahoe County, Colorado",6038,69.8,7.6
156,1400000US08005006857,08005006857,"Census Tract 68.57, Arapahoe County, Colorado",1834,63.8,2.3
157,1400000US08005006858,08005006858,"Census Tract 68.58, Arapahoe County, Colorado",3999,72.0,3.2
158,1400000US08005007101,08005007101,"Census Tract 71.01, Arapahoe County, Colorado",4061,59.7,5.6
159,1400000US08005007103,08005007103,"Census Tract 71.03, Arapahoe County, Colorado",1414,64.1,5.4
160,1400000US08005007104,08005007104,"Census Tract 71.04, Arapahoe County, Colorado",3809,50.9,5.0
161,1400000US08005007105,08005007105,"Census Tract 71.05, Arapahoe County, Colorado",3126,70.3,6.9
162,1400000US08005007106,08005007106,"Census Tract 71.06, Arapahoe County, Colorado",3771,76.7,1.9
163,1400000US08005007107,08005007107,"Census Tract 71.07, Arapahoe County, Colorado",4717,75.2,3.6
164,1400000US08005007201,08005007201,"Census Tract 72.01, Arapahoe County, Colorado",2958,58.7,11.2
165,1400000US08005007202,08005007202,"Census Tract 72.02, Arapahoe County, Colorado",3066,65.1,6.3
166,1400000US08005007301,08005007301,"Census Tract 73.01, Arapahoe County, Colorado",1842,62.6,8.1
167,1400000US08005007302,08005007302,"Census Tract 73.02, Arapahoe County, Colorado",4079,67.1,10.5
168,1400000US08005007400,08005007400,"Census Tract 74, Arapahoe County, Colorado",3838,61.7,9.6
169,1400000US08005007500,08005007500,"Census Tract 75, Arapahoe County, Colorado",1996,62.6,11.4
170,1400000US08005007600,08005007600,"Census Tract 76, Arapahoe County, Colorado",2664,50.1,15.8
171,1400000US08005007702,08005007702,"Census Tract 77.02, Arapahoe County, Colorado",3265,60.2,5.7
172,1400000US08005007703,08005007703,"Census Tract 77.03, Arapahoe County, Colorado",3265,59.1,12.7
173,1400000US08005007704,08005007704,"Census Tract 77.04, Arapahoe County, Colorado",3441,67.2,9.0
174,1400000US08005015100,08005015100,"Census Tract 151, Arapahoe County, Colorado",2104,69.8,6.4
175,1400000US08005080000,08005080000,"Census Tract 800, Arapahoe County, Colorado",2573,58.5,13.3
176,1400000US08005080100,08005080100,"Census Tract 801, Arapahoe County, Colorado",3578,60.6,15.3
177,1400000US08005080200,08005080200,"Census Tract 802, Arapahoe County, Colorado",4490,55.7,9.6
178,1400000US08005080300,08005080300,"Census Tract 803, Arapahoe County, Colorado",4524,65.8,5.3
179,1400000US08005080400,08005080400,"Census Tract 804, Arapahoe County, Colorado",3963,70.4,5.8
180,1400000US08005080500,08005080500,"Census Tract 805, Arapahoe County, Colorado",3103,65.2,5.5
181,1400000US08005080600,08005080600,"Census Tract 806, Arapahoe County, Colorado",2717,77.0,3.9
182,1400000US08005080700,08005080700,"Census Tract 807, Arapahoe County, Colorado",4271,60.6,7.9
183,1400000US08005080800,08005080800,"Census Tract 808, Arapahoe County, Colorado",2297,62.6,7.6
184,1400000US08005080900,08005080900,"Census Tract 809, Arapahoe County, Colorado",3266,62.2,9.3
185,1400000US08005081000,08005081000,"Census Tract 810, Arapahoe County, Colorado",4426,57.5,15.5
186,1400000US08005081100,08005081100,"Census Tract 811, Arapahoe County, Colorado",4596,69.3,12.3
187,1400000US08005081200,08005081200,"Census Tract 812, Arapahoe County, Colorado",3336,65.6,10.1
188,1400000US08005081300,08005081300,"Census Tract 813, Arapahoe County, Colorado",2542,63.0,9.5
189,1400000US08005081400,08005081400,"Census Tract 814, Arapahoe County, Colorado",3429,44.2,15.0
190,1400000US08005081500,08005081500,"Census Tract 815, Arapahoe County, Colorado",2982,19.6,2.0
191,1400000US08005081600,08005081600,"Census Tract 816, Arapahoe County, Colorado",3989,56.0,12.4
192,1400000US08005081700,08005081700,"Census Tract 817, Arapahoe County, Colorado",2328,64.5,3.0
193,1400000US08005081800,08005081800,"Census Tract 818, Arapahoe County, Colorado",3796,63.5,11.6
194,1400000US08005081900,08005081900,"Census Tract 819, Arapahoe County, Colorado",4718,57.4,10.7
195,1400000US08005082000,08005082000,"Census Tract 820, Arapahoe County, Colorado",2973,72.8,7.9
196,1400000US08005082100,08005082100,"Census Tract 821, Arapahoe County, Colorado",5030,66.0,9.6
197,1400000US08005082200,08005082200,"Census Tract 822, Arapahoe County, Colorado",4851,63.9,7.9
198,1400000US08005082300,08005082300,"Census Tract 823, Arapahoe County, Colorado",2765,69.9,9.3
199,1400000US08005082400,08005082400,"Census Tract 824, Arapahoe County, Colorado",3548,65.1,9.6
200,1400000US08005082500,08005082500,"Census Tract 825, Arapahoe County, Colorado",1727,68.3,6.6
201,1400000US08005082600,08005082600,"Census Tract 826, Arapahoe County, Colorado",3600,75.3,8.4
202,1400000US08005082700,08005082700,"Census Tract 827, Arapahoe County, Colorado",2795,62.3,10.7
203,1400000US08005082800,08005082800,"Census Tract 828, Arapahoe County, Colorado",3921,67.5,10.2
204,1400000US08005082900,08005082900,"Census Tract 829, Arapahoe County, Colorado",3400,67.9,8.9
205,1400000US08005083000,08005083000,"Census Tract 830, Arapahoe County, Colorado",2766,58.6,5.3
206,1400000US08005083100,08005083100,"Census Tract 831, Arapahoe County, Colorado",4903,78.8,6.0
207,1400000US08005083200,08005083200,"Census Tract 832, Arapahoe County, Colorado",6303,73.3,10.0
208,1400000US08005083300,08005083300,"Census Tract 833, Arapahoe County, Colorado",3897,69.0,5.3
209,1400000US08005083400,08005083400,"Census Tract 834, Arapahoe County, Colorado",5185,73.8,4.0
210,1400000US08005083500,08005083500,"Census Tract 835, Arapahoe County, Colorado",4406,69.2,7.2
211,1400000US08005083600,08005083600,"Census Tract 836, Arapahoe County, Colorado",3025,69.4,7.9
212,1400000US08005083700,08005083700,"Census Tract 837, Arapahoe County, Colorado",3595,57.2,6.4
213,1400000US08005083800,08005083800,"Census Tract 838, Arapahoe County, Colorado",2414,65.1,11.3
214,1400000US08005083900,08005083900,"Census Tract 839, Arapahoe County, Colorado",2525,65.0,5.9
215,1400000US08005084000,08005084000,"Census Tract 840, Arapahoe County, Colorado",1910,66.3,10.4
216,1400000US08005084100,08005084100,"Census Tract 841, Arapahoe County, Colorado",3392,69.4,12.8
217,1400000US08005084200,08005084200,"Census Tract 842, Arapahoe County, Colorado",2983,69.4,6.6
218,1400000US08005084300,08005084300,"Census Tract 843, Arapahoe County, Colorado",2573,70.9,9.8
219,1400000US08005084400,08005084400,"Census Tract 844, Arapahoe County, Colorado",2379,67.3,9.2
220,1400000US08005084500,08005084500,"Census Tract 845, Arapahoe County, Colorado",2318,71.3,4.8
221,1400000US08005084600,08005084600,"Census Tract 846, Arapahoe County, Colorado",4148,66.1,9.0
222,1400000US08005084700,08005084700,"Census Tract 847, Arapahoe County, Colorado",3719,65.6,9.6
223,1400000US08005084800,08005084800,"Census Tract 848, Arapahoe County, Colorado",2847,76.8,6.8
224,1400000US08005084900,08005084900,"Census Tract 849, Arapahoe County, Colorado",2716,67.5,7.7
225,1400000US08005085000,08005085000,"Census Tract 850, Arapahoe County, Colorado",1331,79.9,4.3
226,1400000US08005085100,08005085100,"Census Tract 851, Arapahoe County, Colorado",4953,66.9,5.4
227,1400000US08005085200,08005085200,"Census Tract 852, Arapahoe County, Colorado",2262,61.3,2.4
228,1400000US08005085300,08005085300,"Census Tract 853, Arapahoe County, Colorado",1887,72.5,5.1
229,1400000US08005085400,08005085400,"Census Tract 854, Arapahoe County, Colorado",3503,74.7,5.7
230,1400000US08005085500,08005085500,"Census Tract 855, Arapahoe County, Colorado",4162,72.1,4.5
231,1400000US08005085600,08005085600,"Census Tract 856, Arapahoe County, Colorado",2592,76.7,1.8
232,1400000US08005085700,08005085700,"Census Tract 857, Arapahoe County, Colorado",3303,74.2,7.4
233,1400000US08005085800,08005085800,"Census Tract 858, Arapahoe County, Colorado",1421,68.1,3.3
234,1400000US08005085900,08005085900,"Census Tract 859, Arapahoe County, Colorado",2675,71.0,7.4
235,1400000US08005086000,08005086000,"Census Tract 860, Arapahoe County, Colorado",5685,68.0,8.5
236,1400000US08005086100,08005086100,"Census Tract 861, Arapahoe County, Colorado",3555,75.4,5.4
237,1400000US08005086200,08005086200,"Census Tract 862, Arapahoe County, Colorado",4557,74.8,4.9
238,1400000US08005086300,08005086300,"Census Tract 863, Arapahoe County, Colorado",3254,78.0,1.9
239,1400000US08005086400,08005086400,"Census Tract 864, Arapahoe County, Colorado",1818,65.8,2.9
240,1400000US08005086500,08005086500,"Census Tract 865, Arapahoe County, Colorado",4022,71.0,2.9
241,1400000US08005086600,08005086600,"Census Tract 866, Arapahoe County, Colorado",4553,49.5,2.8
242,1400000US08005086700,08005086700,"Census Tract 867, Arapahoe County, Colorado",2626,74.0,3.4
243,1400000US08005086800,08005086800,"Census Tract 868, Arapahoe County, Colorado",4905,72.5,6.0
244,1400000US08005086900,08005086900,"Census Tract 869, Arapahoe County, Colorado",2427,74.9,6.3
245,1400000US08005087000,08005087000,"Census Tract 870, Arapahoe County, Colorado",4145,74.7,8.5
246,1400000US08005087100,08005087100,"Census Tract 871, Arapahoe County, Colorado",2255,56.0,19.9
247,1400000US08005087200,08005087200,"Census Tract 872, Arapahoe County, Colorado",3493,66.6,8.8
248,1400000US08005087300,08005087300,"Census Tract 873, Arapahoe County, Colorado",6159,70.9,8.8
249,1400000US08007940400,08007940400,"Census Tract 9404, Archuleta County, Colorado",1133,51.6,14.2
250,1400000US08007974200,08007974200,"Census Tract 9742, Archuleta County, Colorado",4539,52.8,7.3
251,1400000US08007974300,08007974300,"Census Tract 9743, Archuleta County, Colorado",2786,48.1,10.7
252,1400000US08007974400,08007974400,"Census Tract 9744, Archuleta County, Colorado",1852,64.0,3.7
253,1400000US08009964600,08009964600,"Census Tract 9646, Baca County, Colorado",1348,56.6,3.5
254,1400000US08009964700,08009964700,"Census Tract 9647, Baca County, Colorado",1660,56.6,5.3
255,1400000US08011966700,08011966700,"Census Tract 9667, Bent County, Colorado",5057,24.0,8.3
256,1400000US08013012101,08013012101,"Census Tract 121.01, Boulder County, Colorado",3836,71.8,4.1
257,1400000US08013012102,08013012102,"Census Tract 121.02, Boulder County, Colorado",6213,69.0,8.8
258,1400000US08013012103,08013012103,"Census Tract 121.03, Boulder County, Colorado",3208,68.8,5.0
259,1400000US08013012104,08013012104,"Census Tract 121.04, Boulder County, Colorado",2115,65.6,2.3
260,1400000US08013012105,08013012105,"Census Tract 121.05, Boulder County, Colorado",4436,73.7,2.1
261,1400000US08013012201,08013012201,"Census Tract 122.01, Boulder County, Colorado",3411,60.7,10.7
262,1400000US08013012202,08013012202,"Census Tract 122.02, Boulder County, Colorado",6240,69.7,5.5
263,1400000US08013012203,08013012203,"Census Tract 122.03, Boulder County, Colorado",5825,73.7,4.0
264,1400000US08013012204,08013012204,"Census Tract 122.04, Boulder County, Colorado",3559,62.8,9.7
265,1400000US08013012300,08013012300,"Census Tract 123, Boulder County, Colorado",6632,35.0,16.9
266,1400000US08013012401,08013012401,"Census Tract 124.01, Boulder County, Colorado",6090,48.4,9.7
267,1400000US08013012501,08013012501,"Census Tract 125.01, Boulder County, Colorado",2223,68.0,4.4
268,1400000US08013012505,08013012505,"Census Tract 125.05, Boulder County, Colorado",3249,62.2,5.9
269,1400000US08013012507,08013012507,"Census Tract 125.07, Boulder County, Colorado",3881,66.1,7.5
270,1400000US08013012508,08013012508,"Census Tract 125.08, Boulder County, Colorado",2628,77.0,5.5
271,1400000US08013012509,08013012509,"Census Tract 125.09, Boulder County, Colorado",2914,61.5,4.0
272,1400000US08013012510,08013012510,"Census Tract 125.10, Boulder County, Colorado",3888,68.0,4.3
273,1400000US08013012511,08013012511,"Census Tract 125.11, Boulder County, Colorado",5361,47.1,6.7
274,1400000US08013012603,08013012603,"Census Tract 126.03, Boulder County, Colorado",2785,69.3,4.3
275,1400000US08013012605,08013012605,"Census Tract 126.05, Boulder County, Colorado",1613,62.2,6.1
