,No,EDHLTH_RAC_SCALED,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,EMP_WAC_SCALED,LEISER_RAC_SCALED,LEISER_WAC_SCALED,OTHER_RAC_SCALED,OTHER_WAC_SCALED,RETAIL_RAC_SCALED,RETAIL_WAC_SCALED
71,71,55.679493144,40.885599213,217.656200472,10098.813120992,35.010590386000004,552.9749738359999,105.031771158,8439.061610425,21.934345784,1065.8909375179999
72,72,597.130105908,198.114796872,1598.17735451,3390.4489232980004,190.45696543000003,2069.198989552,593.34251265,510.871098284,217.247770522,612.26403859
73,73,643.658660582,0.0,1790.289972576,73.621644563,175.63230127100002,0.0,873.1484015080001,73.621644563,97.850609215,0.0
74,74,733.6117159440711,5627.3810828134365,1770.795453322163,5908.917979100483,128.08970562901226,41.35972924801067,770.696413866067,240.17716703903562,138.39761788301274,0.0
75,75,264.688064497,2218.878391691,605.82916936,4108.877878095,42.508992055,65.156836532,226.850579527,1824.842649872,71.781533281,0.0
76,76,562.814864688,1097.1472206649998,2089.5875993920004,1577.6367128139998,233.76018207200005,48.102969683999994,972.523265431,432.38652246500004,320.48928720099997,0.0
77,77,1004.8820556139998,13293.360338340999,3890.3441614439994,14700.501878044,731.3179605339999,757.347926963,1660.731756094,626.0513631839999,493.41238920200004,23.742249555999997
78,78,1471.6267410440003,8092.395437318,5470.648233492001,15012.364977473,953.3604406400001,6067.447622913,2330.075470286001,450.22640224199995,715.585581522,402.29551499999997
79,79,598.813664036,795.481390202,2103.227463536,55955.016080268,344.83876288799996,14072.312781414998,889.957277376,40186.965672863014,269.617759236,900.256235788
80,80,1262.3531413210003,564.491216273,4243.245493736,6802.626178971999,711.55693242,1430.1628722,1791.7768424360002,4764.339615895,477.55857755900007,43.632474604
81,81,834.1276034389999,289.50030219,3245.468796865,1535.861752928,487.89903787799983,250.42506988200003,1497.7223538779997,931.3587883160001,425.71980167000004,64.57759254
82,82,345.94038740400003,219.85890964,1678.3632199150002,2275.443762982,211.606691838,99.056870824,872.3150913090001,1846.598527698,248.501049364,109.92945482
83,83,221.32456834,1602.7001245970002,819.099230382,6820.441741578001,87.45503255199999,41.317231311,429.751599272,4042.0994994139996,80.568030218,1134.3248862560001
84,84,700.1558527340162,3.8967402,2271.0937977600543,77.51638387200164,339.63451374001147,0.0,966.465416379018,73.61964367200164,264.83801490700824,0.0
85,85,855.4804760280008,0.0,2722.456228683004,75.11639257200024,325.4653905390004,0.0,1245.1691532940029,75.11639257200024,296.34120882200085,0.0
86,86,969.1265427059999,7709.556234414999,2130.3962677,8063.295391932,158.14012184499998,57.103491321,830.2627164559999,296.635666196,172.86688669299997,0.0
87,87,521.193763834,13430.654181839,1194.6463800239999,13903.265150688,90.76970044299999,209.086032079,491.913215304,263.52493677,90.76970044299999,0.0
88,88,57.736601955,49946.97930393,108.065760128,53068.172613196,9.368472731,917.3794206560001,33.782577148,1784.042341324,7.178108294,419.77154728600004
89,89,315.34586735,91933.52984656999,1458.4388080419997,99283.47186045798,274.138226557,2400.840394732,670.8737201839999,4359.588034767,198.080993951,589.513584389
90,90,768.2522783969999,18333.785397992,3508.694452005,25242.854235717994,698.105437512,3130.968495102,1519.1734178,2834.789904878,523.163318296,943.3104377459999
91,91,706.435476522,35.22168654,2689.133512487,2014.9518651550004,522.4554862470001,129.611459558,1193.903732332,1458.748897485,266.3388173860001,391.369821572
92,92,142.632774748,159.14814744,488.70388087099997,2795.509604381,81.19005692100001,222.807406416,230.57915604299995,2217.645146125,34.301893159,195.9089044
93,93,562.1608727044986,107.54046120241549,1722.873675992745,282.1840713574155,227.535235669277,1.271187566,778.8288455887202,137.897281496,154.34872203024926,35.475141093000005
94,94,1187.322768904,345.40883907600005,4316.742105505,599.0793035440001,666.5500574400002,65.409036884,2004.7629546009998,172.905543953,458.10632455999996,15.355883631
95,95,135.62736198800002,2347.399980454,443.06804715500004,12952.992219996,48.274231594,14.760586225,220.275581229,10395.234285576002,38.890872344,195.59736774099997
