Settlers' Park,Oct-17,183
Settlers' Park,Sep-17,257
The Village,Apr-17,300
The Village,Aug-17,474
The Village,Dec-17,201
The Village,Feb-17,155
The Village,Jan-17,139
The Village,Jul-17,464
The Village,Jun-17,403
The Village,Mar-17,230
The Village,May-17,297
The Village,Nov-17,239
The Village,Oct-17,306
The Village,Sep-17,436
Twenty Ninth Street North,Apr-17,235
Twenty Ninth Street North,Aug-17,408
Twenty Ninth Street North,Dec-17,149
Twenty Ninth Street North,Feb-17,160
Twenty Ninth Street North,Jan-17,111
Twenty Ninth Street North,Jul-17,446
Twenty Ninth Street North,Jun-17,410
Twenty Ninth Street North,Mar-17,244
Twenty Ninth Street North,May-17,333
Twenty Ninth Street North,Nov-17,227
Twenty Ninth Street North,Oct-17,290
Twenty Ninth Street North,Sep-17,327
Twenty Ninth Street South,Apr-17,124
Twenty Ninth Street South,Aug-17,249
Twenty Ninth Street South,Dec-17,105
Twenty Ninth Street South,Feb-17,69
Twenty Ninth Street South,Jan-17,73
Twenty Ninth Street South,Jul-17,266
Twenty Ninth Street South,Jun-17,225
Twenty Ninth Street South,Mar-17,115
Twenty Ninth Street South,May-17,163
Twenty Ninth Street South,Nov-17,148
Twenty Ninth Street South,Oct-17,191
Twenty Ninth Street South,Sep-17,207
UCAR Center Green,Apr-17,112
UCAR Center Green,Aug-17,195
UCAR Center Green,Dec-17,91
UCAR Center Green,Feb-17,57
UCAR Center Green,Jan-17,39
UCAR Center Green,Jul-17,320
UCAR Center Green,Jun-17,264
UCAR Center Green,Mar-17,72
UCAR Center Green,May-17,145
UCAR Center Green,Nov-17,92
UCAR Center Green,Oct-17,128
UCAR Center Green,Sep-17,152
UCAR Mitchell Lane,Apr-17,179
UCAR Mitchell Lane,Aug-17,327
UCAR Mitchell Lane,Dec-17,99
UCAR Mitchell Lane,Feb-17,87
UCAR Mitchell Lane,Jan-17,63
UCAR Mitchell Lane,Jul-17,257
UCAR Mitchell Lane,Jun-17,311
UCAR Mitchell Lane,Mar-17,128
UCAR Mitchell Lane,May-17,192
UCAR Mitchell Lane,Nov-17,145
UCAR Mitchell Lane,Oct-17,273
UCAR Mitchell Lane,Sep-17,302
Williams Village,Apr-17,243
Williams Village,Aug-17,336
Williams Village,Dec-17,113
Williams Village,Feb-17,121
Williams Village,Jan-17,99
Williams Village,Jul-17,637
Williams Village,Jun-17,439
Williams Village,Mar-17,241
Williams Village,May-17,258
Williams Village,Nov-17,221
Williams Village,Oct-17,311
Williams Village,Sep-17,329
