State,Station Name,Month,Ridership,Average Rain,Average Temp
CO,Municipal Building,Nov,106,1.1,40.6
CO,Municipal Building,Oct,181,1.2,52.9
CO,Municipal Building,Sep,276,1.5,62.2
CO,North Boulder Recreation Center,Apr,121,2.5,49.1
CO,North Boulder Recreation Center,Aug,69,1.5,70.9
CO,North Boulder Recreation Center,Dec,44,0.7,33.4
CO,North Boulder Recreation Center,Feb,104,0.8,35.8
CO,North Boulder Recreation Center,Jan,103,0.7,32.5
CO,North Boulder Recreation Center,Jul,102,1.6,72.9
CO,North Boulder Recreation Center,Jun,123,2.1,67.1
CO,North Boulder Recreation Center,Mar,130,1.7,41
CO,North Boulder Recreation Center,May,114,3.1,57.9
CO,North Boulder Recreation Center,Nov,50,1.1,40.6
CO,North Boulder Recreation Center,Oct,67,1.2,52.9
CO,North Boulder Recreation Center,Sep,74,1.5,62.2
CO,Settlers' Park,Apr,176,2.5,49.1
CO,Settlers' Park,Aug,373,1.5,70.9
CO,Settlers' Park,Dec,94,0.7,33.4
CO,Settlers' Park,Feb,105,0.8,35.8
CO,Settlers' Park,Jan,87,0.7,32.5
CO,Settlers' Park,Jul,359,1.6,72.9
CO,Settlers' Park,Jun,274,2.1,67.1
CO,Settlers' Park,Mar,195,1.7,41
CO,Settlers' Park,May,250,3.1,57.9
CO,Settlers' Park,Nov,140,1.1,40.6
CO,Settlers' Park,Oct,183,1.2,52.9
CO,Settlers' Park,Sep,257,1.5,62.2
CO,The Village,Apr,300,2.5,49.1
CO,The Village,Aug,474,1.5,70.9
CO,The Village,Dec,201,0.7,33.4
CO,The Village,Feb,155,0.8,35.8
CO,The Village,Jan,139,0.7,32.5
CO,The Village,Jul,464,1.6,72.9
CO,The Village,Jun,403,2.1,67.1
CO,The Village,Mar,230,1.7,41
CO,The Village,May,297,3.1,57.9
CO,The Village,Nov,239,1.1,40.6
CO,The Village,Oct,306,1.2,52.9
CO,The Village,Sep,436,1.5,62.2
CO,Twenty Ninth Street North,Apr,235,2.5,49.1
CO,Twenty Ninth Street North,Aug,408,1.5,70.9
CO,Twenty Ninth Street North,Dec,149,0.7,33.4
CO,Twenty Ninth Street North,Feb,160,0.8,35.8
CO,Twenty Ninth Street North,Jan,111,0.7,32.5
CO,Twenty Ninth Street North,Jul,446,1.6,72.9
CO,Twenty Ninth Street North,Jun,410,2.1,67.1
CO,Twenty Ninth Street North,Mar,244,1.7,41
CO,Twenty Ninth Street North,May,333,3.1,57.9
CO,Twenty Ninth Street North,Nov,227,1.1,40.6
CO,Twenty Ninth Street North,Oct,290,1.2,52.9
CO,Twenty Ninth Street North,Sep,327,1.5,62.2
CO,Twenty Ninth Street South,Apr,124,2.5,49.1
CO,Twenty Ninth Street South,Aug,249,1.5,70.9
CO,Twenty Ninth Street South,Dec,105,0.7,33.4
CO,Twenty Ninth Street South,Feb,69,0.8,35.8
CO,Twenty Ninth Street South,Jan,73,0.7,32.5
CO,Twenty Ninth Street South,Jul,266,1.6,72.9
CO,Twenty Ninth Street South,Jun,225,2.1,67.1
CO,Twenty Ninth Street South,Mar,115,1.7,41
CO,Twenty Ninth Street South,May,163,3.1,57.9
CO,Twenty Ninth Street South,Nov,148,1.1,40.6
CO,Twenty Ninth Street South,Oct,191,1.2,52.9
CO,Twenty Ninth Street South,Sep,207,1.5,62.2
CO,UCAR Center Green,Apr,112,2.5,49.1
CO,UCAR Center Green,Aug,195,1.5,70.9
CO,UCAR Center Green,Dec,91,0.7,33.4
CO,UCAR Center Green,Feb,57,0.8,35.8
CO,UCAR Center Green,Jan,39,0.7,32.5
CO,UCAR Center Green,Jul,320,1.6,72.9
CO,UCAR Center Green,Jun,264,2.1,67.1
CO,UCAR Center Green,Mar,72,1.7,41
CO,UCAR Center Green,May,145,3.1,57.9
CO,UCAR Center Green,Nov,92,1.1,40.6
CO,UCAR Center Green,Oct,128,1.2,52.9
CO,UCAR Center Green,Sep,152,1.5,62.2
CO,UCAR Mitchell Lane,Apr,179,2.5,49.1
CO,UCAR Mitchell Lane,Aug,327,1.5,70.9
CO,UCAR Mitchell Lane,Dec,99,0.7,33.4
CO,UCAR Mitchell Lane,Feb,87,0.8,35.8
CO,UCAR Mitchell Lane,Jan,63,0.7,32.5
CO,UCAR Mitchell Lane,Jul,257,1.6,72.9
CO,UCAR Mitchell Lane,Jun,311,2.1,67.1
CO,UCAR Mitchell Lane,Mar,128,1.7,41
CO,UCAR Mitchell Lane,May,192,3.1,57.9
CO,UCAR Mitchell Lane,Nov,145,1.1,40.6
CO,UCAR Mitchell Lane,Oct,273,1.2,52.9
CO,UCAR Mitchell Lane,Sep,302,1.5,62.2
CO,Williams Village,Apr,243,2.5,49.1
CO,Williams Village,Aug,336,1.5,70.9
CO,Williams Village,Dec,113,0.7,33.4
CO,Williams Village,Feb,121,0.8,35.8
CO,Williams Village,Jan,99,0.7,32.5
CO,Williams Village,Jul,637,1.6,72.9
CO,Williams Village,Jun,439,2.1,67.1
CO,Williams Village,Mar,241,1.7,41
CO,Williams Village,May,258,3.1,57.9
CO,Williams Village,Nov,221,1.1,40.6
CO,Williams Village,Oct,311,1.2,52.9
CO,Williams Village,Sep,329,1.5,62.2
TN,100 Manufacturers Rd,Apr,318,4.3,59
TN,100 Manufacturers Rd,Feb,63,5.1,41.7
TN,100 Manufacturers Rd,Jan,90,5.2,37.4
TN,100 Manufacturers Rd,Mar,210,6,50.4
TN,100 Manufacturers Rd,Mar,3,6,50.4
TN,100 Manufacturers Rd,May,218,4,66.7
TN,100 Walnut St,Apr,647,4.3,59
TN,100 Walnut St,Feb,311,5.1,41.7
TN,100 Walnut St,Jan,235,5.2,37.4
TN,100 Walnut St,Jul,2,4.8,78.6
TN,100 Walnut St,Jun,2,3.7,75.2
TN,100 Walnut St,Mar,575,6,50.4
TN,100 Walnut St,May,626,4,66.7
TN,1216 Broad St,Apr,68,4.3,59
TN,1216 Broad St,Feb,70,5.1,41.7
TN,1216 Broad St,Jan,35,5.2,37.4
TN,1216 Broad St,Mar,141,6,50.4
TN,1216 Broad St,May,147,4,66.7
TN,1826 Carter St,Apr,41,4.3,59
TN,1826 Carter St,Feb,21,5.1,41.7
TN,1826 Carter St,Jan,12,5.2,37.4
TN,1826 Carter St,Mar,48,6,50.4
TN,1826 Carter St,May,66,4,66.7
TN,200 River St,Apr,886,4.3,59
TN,200 River St,Feb,402,5.1,41.7
TN,200 River St,Jan,245,5.2,37.4
TN,200 River St,Jun,2,3.7,75.2
TN,200 River St,Mar,786,6,50.4
TN,200 River St,May,698,4,66.7
TN,200 River St,Sep,2,4.1,72.3
TN,215 Broad St,Apr,406,4.3,59
TN,215 Broad St,Feb,166,5.1,41.7
TN,215 Broad St,Jan,126,5.2,37.4
TN,215 Broad St,Mar,291,6,50.4
TN,215 Broad St,May,306,4,66.7
TN,301 Manufacturers Rd,Apr,22,4.3,59
TN,301 Manufacturers Rd,Feb,30,5.1,41.7
TN,301 Manufacturers Rd,Jan,9,5.2,37.4
TN,301 Manufacturers Rd,Mar,38,6,50.4
TN,301 Manufacturers Rd,May,40,4,66.7
TN,500 Georgia Ave,Apr,65,4.3,59
TN,500 Georgia Ave,Feb,22,5.1,41.7
TN,500 Georgia Ave,Jan,11,5.2,37.4
TN,500 Georgia Ave,Mar,22,6,50.4
TN,500 Georgia Ave,May,31,4,66.7
TN,800 E 8th St,Apr,24,4.3,59
TN,800 E 8th St,Feb,19,5.1,41.7
TN,800 E 8th St,Jan,5,5.2,37.4
TN,800 E 8th St,Mar,17,6,50.4
TN,800 E 8th St,May,29,4,66.7
TN,Blue Goose Hollow,Apr,219,4.3,59
TN,Blue Goose Hollow,Feb,87,5.1,41.7
TN,Blue Goose Hollow,Jan,58,5.2,37.4
TN,Blue Goose Hollow,Mar,141,6,50.4
TN,Blue Goose Hollow,May,180,4,66.7
TN,Broad St & W 10th St,Apr,135,4.3,59
TN,Broad St & W 10th St,Feb,39,5.1,41.7
TN,Broad St & W 10th St,Jan,43,5.2,37.4
TN,Broad St & W 10th St,Mar,112,6,50.4
TN,Broad St & W 10th St,May,83,4,66.7
TN,Broad St & W 4th St,Apr,355,4.3,59
TN,Broad St & W 4th St,Feb,114,5.1,41.7
TN,Broad St & W 4th St,Jan,69,5.2,37.4
