Kilbourne St & Vine St,Mar-17,26
Kilbourne St & Vine St,May-17,48
Kilbourne St & Vine St,Nov-17,9
Kilbourne St & Vine St,Oct-17,38
Kilbourne St & Vine St,Sep-17,42
Lane Ave at Olentangy Trail,Apr-17,99
Lane Ave at Olentangy Trail,Aug-17,100
Lane Ave at Olentangy Trail,Dec-17,2
Lane Ave at Olentangy Trail,Feb-17,30
Lane Ave at Olentangy Trail,Jan-17,15
Lane Ave at Olentangy Trail,Jul-17,92
Lane Ave at Olentangy Trail,Jun-17,165
Lane Ave at Olentangy Trail,Mar-17,30
Lane Ave at Olentangy Trail,May-17,86
Lane Ave at Olentangy Trail,Nov-17,16
Lane Ave at Olentangy Trail,Oct-17,68
Lane Ave at Olentangy Trail,Sep-17,93
Library - Main Branch,Apr-17,56
Library - Main Branch,Aug-17,65
Library - Main Branch,Dec-17,9
Library - Main Branch,Feb-17,33
Library - Main Branch,Jan-17,26
Library - Main Branch,Jul-17,56
Library - Main Branch,Jun-17,46
Library - Main Branch,Mar-17,47
Library - Main Branch,May-17,61
Library - Main Branch,Nov-17,21
Library - Main Branch,Oct-17,53
Library - Main Branch,Sep-17,63
Livingston Park,Apr-17,26
Livingston Park,Aug-17,72
Livingston Park,Dec-17,1
Livingston Park,Feb-17,16
Livingston Park,Jan-17,4
Livingston Park,Jul-17,76
Livingston Park,Jun-17,26
Livingston Park,Mar-17,16
Livingston Park,May-17,11
Livingston Park,Nov-17,14
Livingston Park,Oct-17,35
Livingston Park,Sep-17,31
Lucas St & Town St,Apr-17,105
Lucas St & Town St,Aug-17,119
Lucas St & Town St,Dec-17,44
Lucas St & Town St,Feb-17,67
Lucas St & Town St,Jan-17,54
Lucas St & Town St,Jul-17,143
Lucas St & Town St,Jun-17,151
Lucas St & Town St,Mar-17,67
Lucas St & Town St,May-17,126
Lucas St & Town St,Nov-17,58
Lucas St & Town St,Oct-17,123
Lucas St & Town St,Sep-17,116
Market District & 3rd Ave,Apr-17,56
Market District & 3rd Ave,Aug-17,72
Market District & 3rd Ave,Dec-17,10
Market District & 3rd Ave,Feb-17,26
Market District & 3rd Ave,Jan-17,4
Market District & 3rd Ave,Jul-17,125
Market District & 3rd Ave,Jun-17,105
Market District & 3rd Ave,Mar-17,18
Market District & 3rd Ave,May-17,50
Market District & 3rd Ave,Nov-17,3
Market District & 3rd Ave,Oct-17,43
Market District & 3rd Ave,Sep-17,47
Michigan Ave & 3rd Ave,Apr-17,96
Michigan Ave & 3rd Ave,Aug-17,129
Michigan Ave & 3rd Ave,Dec-17,3
Michigan Ave & 3rd Ave,Feb-17,40
Michigan Ave & 3rd Ave,Jan-17,28
Michigan Ave & 3rd Ave,Jul-17,173
Michigan Ave & 3rd Ave,Jun-17,160
Michigan Ave & 3rd Ave,Mar-17,32
Michigan Ave & 3rd Ave,May-17,104
Michigan Ave & 3rd Ave,Nov-17,21
Michigan Ave & 3rd Ave,Oct-17,75
Michigan Ave & 3rd Ave,Sep-17,125
Nationwide Arena - Front St,Apr-17,155
Nationwide Arena - Front St,Aug-17,214
Nationwide Arena - Front St,Dec-17,33
Nationwide Arena - Front St,Feb-17,36
Nationwide Arena - Front St,Jan-17,23
Nationwide Arena - Front St,Jul-17,169
Nationwide Arena - Front St,Jun-17,190
Nationwide Arena - Front St,Mar-17,61
